ORIGIN	DESTINATION	Flight Number	FREQ	DEPARTURE	ARRIVAL	AIRCRAFT	STOPS
Abu Dhabi	Mumbai	AI 0946	1234567	1:35	5:50	A-320	 
Agartala	Kolkata	AI 0744	1234567	11:25	12:25	A-319	 
Agartala	Kolkata	AI 0746	1234567	19:45	20:30	A-319	 
Agatti	Bengaluru	9I 0506	.2.....	9:30	12:50	ATR-72	1
Agatti	Bengaluru	9I 0506	..3....	12:15	18:00	ATR-72	1
Agatti	Bengaluru	9I 0506	1..4567	13:45	18:00	ATR-72	1
Agatti	Kochi	9I 0506	.2.....	9:30	10:50	ATR-72	 
Agatti	Kochi	9I 0506	..3....	12:15	13:35	ATR-72	 
Agatti	Kochi	9I 0506	1..4567	13:45	15:20	ATR-72	 
Agra	Jaipur	9I 0688	12.4.6.	11:30	13:25	ATR-72	 
Agra	Khajuraho	AI 0406	1.3..6.	13:55	14:40	A-319	 
Ahmedabad	Allahabad	AI 0697	..3..6.	14:40	16:20	A-320	 
Ahmedabad	Bengaluru	AI 0590	1234567	3:05	5:25	A-319	 
Ahmedabad	Chennai	AI 0982	1...5..	6:50	9:10	A-320	 
Ahmedabad	Delhi	AI 0018	1234567	7:10	8:45	A-321	 
Ahmedabad	Delhi	AI 0011	1234567	18:50	20:30	A-321	 
Ahmedabad	Delhi	AI 0014	1234567	22:20	23:55	A-320	 
Ahmedabad	Hyderabad	9I 0872	123456	11:20	14:50	ATR-72	1
Ahmedabad	Kuwait	AI 0981	...4..7	20:55	22:25	A-320	 
Ahmedabad	London	AI 0175	......7	7:00	11:05	B787	 
Ahmedabad	London	AI 0171	1.3.5..	7:05	11:05	B787	 
Ahmedabad	Mumbai	AI 0030	1234567	4:00	5:15	B787	 
Ahmedabad	Mumbai	AI 0614	1234567	7:25	8:40	A-320	 
Ahmedabad	Mumbai	AI 0922	.2.....	16:00	17:25	A-320	 
Ahmedabad	Mumbai	AI 0985	1234567	19:10	20:40	A-321	 
Ahmedabad	Muscat	AI 0985	1234567	19:10	23:25	A-321	1
Ahmedabad	Nasik	9I 0872	123456	11:20	12:35	ATR-72	 
Aizawl	Imphal	AI 0715	......7	12:15	13:00	A-319	 
Aizawl	Kolkata	AI 0715	......7	12:15	14:45	A-319	1
Aizawl	Kolkata	AI 0715	....5..	14:30	15:40	A-319	 
Aizawl	Kolkata	AI 0712	1234...	14:40	15:45	A-319	 
Aizawl	Kolkata	AI 0712	.....6.	14:55	16:05	A-319	 
Najaf	Delhi	AI 0902	1..4...	18:00	0:45+1	A-320	 
Allahabad	Ahmedabad	AI 0698	..3..6.	11:45	13:50	A-320	 
Allahabad	Delhi	9I 0604	1234567	17:05	19:00	ATR-72	 
Allahabad	Delhi	AI 0404	.23.567	17:10	18:30	A-320	 
Allahabad	Kolkata	AI 0768	.2..5.7	12:05	14:05	A-320	 
Amritsar	Birmingham	AI 0113	1.3...7	10:30	17:15	B787	1
Amritsar	Birmingham	AI 0117	.2.4.6.	13:55	17:15	B787	 
Amritsar	Delhi	AI 0454	1234567	6:50	7:55	A-320	 
Amritsar	Delhi	9I 0616	1234.67	9:00	10:15	ATR-72	 
Amritsar	Delhi	AI 0118	.3.5.7	9:15	10:30	B787	 
Amritsar	Delhi	AI 0113	1.3...7	10:30	11:45	B787	 
Amritsar	Delhi	AI 0462	12.4...	14:45	15:50	B787	 
Amritsar	Delhi	AI 0115	1234567	19:00	20:10	A-320	 
Amritsar	Mumbai	AI 0650	.....67	17:50	20:55	A-320	 
Amritsar	Nanded	AI 0815	.....67	10:55	13:10	A-320	 
Aurangabad	Delhi	AI 0442	1.3.5.7	17:20	19:10	A-319	 
Aurangabad	Delhi	AI 0442	.2.4.6.	18:40	20:25	A-319	 
Aurangabad	Mumbai	AI 0441	1234567	20:20	21:30	A-319	 
Bagdogra	Delhi	AI 0880	1234567	13:55	16:15	A-320	 
Bagdogra	Kolkata	AI 0722	..3.5.7	15:40	16:45	A-319	 
Bahrain	Delhi	AI 0940	1....6.	23:00	5:00+1	A-319	 
Bahrain	Delhi	AI 0940	.2.4...	23:00	5:00+1	A-321	 
Bangkok	Bengaluru	AI 0339	1.3.5.7	5:40	8:25	A-320	 
Bangkok	Delhi	AI 0333	1234567	8:50	12:05	B787	 
Bangkok	Delhi	AI 0335	.23.5..	21:05	0:10+1	A-320	 
Bangkok	Delhi	AI 0335	......7	21:20	0:10+1	A-320	 
Bangkok	Delhi	AI 0335	1..4.6.	21:25	0:10+1	A-320	 
Bangkok	Kolkata	AI 0337	.2.4.6.	5:40	7:00	A-320	 
Bangkok	Mumbai	AI 0331	1234567	20:30	23:15	B787	 
Belgaum	Bengaluru	9I 0514	.23..6.	20:20	22:10	ATR-72	 
Bengaluru	Agatti	9I 0505	.2.....	5:55	9:00	ATR-72	1
Bengaluru	Agatti	9I 0505	..3....	7:55	11:40	ATR-72	1
Bengaluru	Agatti	9I 0505	1..4567	9:00	12:50	ATR-72	1
Bengaluru	Ahmedabad	AI 0589	1234567	0:30	2:35	A-319	 
Bengaluru	Bangkok	AI 0338	1.3.5.7	13:10	18:30	A-320	 
Bengaluru	Belgaum	9I 0513	.23..6.	18:30	19:55	ATR-72	 
Bengaluru	Bhubaneswar	AI 0776	1234567	5:50	10:20	A-320	1
Bengaluru	Chennai	AI 0564	1234567	13:20	14:05	A-319	 
Bengaluru	Coimbatore	9I 0511	.2.....	19:30	20:30	ATR-72	 
Bengaluru	Delhi	AI 0804	.2.....	5:45	8:45	A-320	 
Bengaluru	Delhi	AI 0804	1.34567	6:10	8:55	A-320	 
Bengaluru	Delhi	AI 0501	1.34567	13:20	16:10	A-320	 
Bengaluru	Delhi	AI 0503	1.34567	17:00	19:45	A-320	 
Bengaluru	Delhi	AI 0503	.2.....	17:00	19:50	A-320	 
Bengaluru	Delhi	AI 0087	1......	21:05	23:55	A-320	 
Bengaluru	Delhi	AI 0173	0.234567	21:10	23:55	A-320	 
Bengaluru	Dubai	AI 0993	.2.4.67	18:00	21:45	A-319	1
Bengaluru	Goa	AI 0993	.2.4.67	18:00	19:10	A-319	 
Bengaluru	Guwahati	AI 0727	1..45.7	13:40	16:45	A-319	 
Bengaluru	Hubli	AI 0507	.2.....	12:00	12:40	A-319	 
Bengaluru	Hubli	AI 0507	..3....	13:40	14:20	A-319	 
Bengaluru	Hubli	AI 0507	.....6.	13:40	14:20	A-319	 
Bengaluru	Hubli	9I 0509	1..45.7	18:30	19:50	ATR-72	 
Bengaluru	Hyderabad	AI 0776	1234567	5:50	12:25	A-320	2
Bengaluru	Hyderabad	AI 0516	.2.....	6:50	8:00	A-319	 
Bengaluru	Hyderabad	AI 0516	1.34567	8:15	9:15	A-319	 
Bengaluru	Hyderabad	AI 0977	1.3.5..	18:00	19:00	A-319	 
Bengaluru	Kochi	9I 0505	.2.....	5:55	7:15	ATR-72	 
Bengaluru	Kochi	9I 0505	..3....	7:55	9:20	ATR-72	 
Bengaluru	Kochi	9I 0505	1..4567	9:00	10:20	ATR-72	 
Bengaluru	Kochi	AI 0587	12.4567	22:00	23:00	A-319	 
Bengaluru	Kolhapur	9I 0536	.2.....	15:55	17:25	ATR-72	 
Bengaluru	Kolkata	AI 0776	1234567	5:50	8:20	A-320	 
Bengaluru	Kolkata	AI 0772	.2.....	13:10	15:30	A-319	 
Bengaluru	London	AI 0177	.2.4.6.	5:40	11:05	B787	 
Bengaluru	Male	AI 0265	1.34567	17:00	18:25	A-320	 
Bengaluru	Mumbai	AI 0639	..3....	6:45	8:25	A-319	 
Bengaluru	Mumbai	AI 0640	12.4567	6:45	8:25	A-319	 
Bengaluru	Mumbai	AI 0604	1...5.7	8:50	10:30	A-320	 
Bengaluru	Mumbai	AI 0604	.2.4.6.	8:50	10:35	A-320	 
Bengaluru	Mumbai	AI 0507	..3....	13:40	16:10	A-319	1
Bengaluru	Mumbai	AI 0608	1.34567	17:25	19:00	A-319	 
Bengaluru	Mumbai	AI 0610	1234567	19:10	21:00	A-319	 
Bengaluru	Mumbai	AI 0608	.2.....	19:20	20:50	A-319	 
Bengaluru	Muscat	AI 0977	1.3.5..	18:00	22:05	A-319	1
Bengaluru	San Francisco	AI 0173	0.234567	21:10	6:00	A-320	1
Bengaluru	Thiruvananthapuram	AI 0583	.2.....	7:30	8:40	A-319	 
Bhatinda	Delhi	9I 0622	12.4...	11:10	12:50	ATR-72	 
Bhatinda	Delhi	9I 0640	.....6.	11:10	12:50	ATR-72	 
Bhatinda	Jammu	9I 0612	1234.67	10:55	11:55	ATR-72	 
Bhavnagar	Mumbai	9I 0652	1.3.5.7	19:40	21:35	ATR-72	 
Bhavnagar	Mumbai	9I 0652	.2.4.6.	21:45	23:00	ATR-72	 
Bhopal	Delhi	AI 0436	1234567	8:00	9:25	A-321	 
Bhopal	Delhi	AI 0438	1234567	22:00	23:25	A-320	 
Bhopal	Jaipur	9I 0684	1234567	20:00	21:15	ATR-72	 
Bhopal	Mumbai	AI 0634	1234567	8:05	9:30	A-319	 
Bhopal	Mumbai	AI 0632	1234567	21:50	23:25	A-319	 
Bhopal	Raipur	9I 0683	1234567	15:45	17:15	ATR-72	 
Bhubaneswar	Delhi	AI 0078	1..4...	9:50	12:05	A-320	 
Bhubaneswar	Delhi	AI 0078	.23.567	9:50	12:05	A-320	 
Bhubaneswar	Delhi	AI 0076	1234567	13:50	16:20	A-320	 
Bhubaneswar	Delhi	AI 0474	1234567	21:35	23:45	A-320	 
Bhubaneswar	Guwahati	AI 0780	1234567	15:10	18:10	A-320	1
Bhubaneswar	Hyderabad	AI 0776	1234567	10:50	12:25	A-320	 
Bhubaneswar	Kolkata	9I 0727	1234567	9:15	11:10	ATR-72	 
Bhubaneswar	Kolkata	AI 0780	1234567	15:10	15:55	A-320	 
Bhubaneswar	Mumbai	AI 0670	1.3.5.7	14:55	17:20	A-320	 
Bhubaneswar	Raipur	9I 0719	1234567	14:00	17:20	ATR-72	1
Bhubaneswar	Ranchi	9I 0719	1234567	14:00	15:15	ATR-72	 
Bikaner	Delhi	9I 0834	1234567	14:35	15:45	ATR-72	 
Bikaner	Jaipur	9I 0829	1234567	11:40	12:40	ATR-72	 
Birmingham	Amritsar	AI 0118	.2.4.6.	18:45	7:45+1	B787	 
Birmingham	Amritsar	AI 0114	1.3...7	20:30	13:45+1	B787	1
Birmingham	Delhi	AI 0118	.2.4.6.	18:45	10:30+1	B787	1
Birmingham	Delhi	AI 0114	1.3...7	20:30	9:55+1	B787	 
Chandigarh	Delhi	9I 0832	1234.6.	7:25	8:25	ATR-72	 
Chandigarh	Delhi	9I 0832	....5..	7:30	8:30	ATR-42	 
Chandigarh	Delhi	AI 0464	1.3..6.	12:50	13:55	A-321	 
Chandigarh	Delhi	AI 0464	.2.45..	12:50	13:55	A-319	 
Chandigarh	Kullu	9I 0808	123456	9:40	10:25	ATR-72	 
Chandigarh	Leh	AI 0458	.2...6.	10:15	11:10	A-319	 
Chandigarh	Mumbai	AI 0622	12345..	15:30	18:10	A-320	 
Chandigarh	Nanded	AI 0817	.23....	9:10	11:30	A-320	 
Chandigarh	Pune	AI 0813	1..45..	9:15	11:40	A-320	 
Chennai	Ahmedabad	AI 0981	...4..7	17:20	20:00	A-320	 
Chennai	Bengaluru	AI 0563	1234567	16:10	17:20	A-319	 
Chennai	Coimbatore	AI 0429	1234567	13:30	14:20	A-321	 
Chennai	Coimbatore	9I 0553	1234567	20:05	21:40	ATR-72	 
Chennai	Colombo	AI 0273	1234567	5:55	7:20	A-321	 
Chennai	Delhi	AI 0440	1234567	6:10	8:55	A-321	 
Chennai	Delhi	AI 0143	1234567	8:40	11:35	A-320	 
Chennai	Delhi	AI 0430	1234567	9:55	13:00	A-320	 
Chennai	Delhi	AI 0539	1234567	17:00	19:50	A-321	 
Chennai	Delhi	AI 0043	1234567	21:05	23:55	A-320	 
Chennai	Dubai	AI 0905	1234567	19:35	22:00	A-321	 
Chennai	Goa	AI 0975	1.3.5..	18:15	19:35	A-320	 
Chennai	Hyderabad	AI 0987	.2...6.	18:05	19:10	A-320	 
Chennai	Hyderabad	AI 0545	12.4567	19:15	20:35	A-321	 
Chennai	Hyderabad	AI 0545	..3....	20:40	22:00	A-321	 
Chennai	Kochi	AI 0509	1234567	8:35	9:25	A-319	 
Chennai	Kolkata	AI 0766	1234567	11:40	13:55	A-321	 
Chennai	Kuwait	AI 0981	...4..7	17:20	22:25	A-320	1
Chennai	Kuwait	AI 0987	.2...6.	18:05	22:25	A-320	1
Chennai	Kuwait	AI 0975	1.3.5..	18:15	22:25	A-320	1
Chennai	Madurai	9I 0559	1234567	9:00	10:20	ATR-72	 
Chennai	Madurai	AI 0671	1.3.5.7	11:30	12:35	A-319	 
Chennai	Madurai	9I 0551	1234567	15:55	17:20	ATR-72	 
Chennai	Mumbai	AI 0569	1234567	6:20	8:10	A-319	 
Chennai	Mumbai	AI 0672	1.3.5.7	14:55	16:50	A-319	 
Chennai	Mumbai	AI 0093	1234567	21:35	23:20	A-319	 
Chennai	Muscat	AI 0907	1234567	19:25	21:55	A-319	 
Chennai	Paris	AI 0143	1234567	8:40	17:55	A-320	1
Chennai	Port Blair	AI 0549	1234567	5:05	7:20	A-321	 
Chennai	Port Blair	AI 0551	.2.45.7	10:30	12:40	A-320	 
Chennai	Sharjah	AI 0967	1234567	18:25	23:05	A-320	1
Chennai	Singapore	AI 0346	1234567	11:35	18:30	A-320	 
Chennai	Thiruvananthapuram	AI 0967	1234567	18:25	19:30	A-320	 
Chennai	Tiruchirapalli	9I 0557	1234567	5:45	6:45	ATR-72	 
Chennai	Tiruchirapalli	9I 0555	1234567	12:45	13:45	ATR-72	 
Chicago	Delhi	AI 0126	1234567	13:30	15:15+1	B777-ER	 
Chicago	Hyderabad	AI 0126	1234567	13:30	19:25+1	B777-ER	1
Coimbatore	Bengaluru	9I 0512	.2.....	21:00	21:55	ATR-72	 
Coimbatore	Chennai	AI 0539	1234567	15:05	16:10	A-321	 
Coimbatore	Chennai	9I 0554	1234567	22:05	23:15	ATR-72	 
Coimbatore	Delhi	AI 0548	1234567	1:00	4:00	A-320	 
Coimbatore	Delhi	AI 0539	1234567	15:05	19:50	A-321	1
Coimbatore	Mumbai	AI 0658	1.3.5.7	13:40	15:30	A-319	 
Colombo	Chennai	AI 0274	12.4567	17:05	18:25	A-321	 
Colombo	Chennai	AI 0274	..3....	18:20	19:30	A-321	 
Colombo	Delhi	AI 0284	..34567	3:00	6:10	A-320	 
Colombo	Delhi	AI 0282	1234567	8:20	11:50	A-321	 
Colombo	Varanasi	AI 0272	....5.7	16:55	20:20	A-321	 
Copenhagen	Delhi	AI 0158	.2.456.	19:50	7:35+1	B787	 
Dammam	Delhi	AI 0914	1234567	3:45	10:05	A-320	 
Dehra Dun	Delhi	9I 0646	1234567	7:45	8:45	ATR-72	 
Dehra Dun	Delhi	9I 0610	1234567	19:00	20:20	ATR-72	 
Dehra Dun	Pantnagar	9I 0824	..3..67	15:05	15:55	ATR-42	 
Dehra Dun	Pantnagar	9I 0824	....5..	15:10	16:00	ATR-42	 
Delhi	Agra	AI 0406	1.3..6.	10:15	13:20	A-319	1
Delhi	Ahmedabad	AI 0019	1234567	5:00	6:30	A-321	 
Delhi	Ahmedabad	AI 0010	1234567	16:40	18:05	A-321	 
Delhi	Ahmedabad	AI 0013	1234567	19:45	21:30	A-320	 
Delhi	Najaf	AI 0901	1..4...	13:55	17:00	A-320	 
Delhi	Allahabad	AI 0403	.23.567	9:50	11:10	A-320	 
Delhi	Allahabad	9I 0603	1234567	14:55	16:40	ATR-72	 
Delhi	Amritsar	AI 0453	1234567	5:00	6:10	A-320	 
Delhi	Amritsar	9I 0615	1234.67	7:05	8:35	ATR-72	 
Delhi	Amritsar	AI 0461	1.3...7	8:05	9:15	B787	 
Delhi	Amritsar	AI 0117	.2.4.6.	11:20	12:25	B787	 
Delhi	Amritsar	AI 0114	1.2.4.	12:40	13:45	B787	 
Delhi	Amritsar	AI 0016	1.34.6.	16:55	18:20	A-320	 
Delhi	Amritsar	AI 0016	.2..5.7	17:05	18:20	A-320	 
Delhi	Aurangabad	AI 0441	1234567	17:50	19:35	A-319	 
Delhi	Bagdogra	AI 0879	1234567	11:20	13:15	A-320	 
Delhi	Bahrain	AI 0939	1....6.	19:50	21:55	A-319	 
Delhi	Bahrain	AI 0939	.2.4...	19:50	21:55	A-321	 
Delhi	Bangkok	AI 0332	1234567	13:45	19:20	B787	 
Delhi	Bangkok	AI 0334	1234567	23:00	4:40+1	A-320	 
Delhi	Bengaluru	AI 0803	1.34567	6:10	8:55	A-320	 
Delhi	Bengaluru	AI 0506	1.34567	9:45	12:30	A-320	 
Delhi	Bengaluru	AI 0506	.2.....	9:45	12:40	A-320	 
Delhi	Bengaluru	AI 0088	..3....	17:40	20:25	A-320	 
Delhi	Bengaluru	AI 0174	12.4567	17:45	20:25	A-320	 
Delhi	Bengaluru	AI 0504	1234567	20:30	23:15	A-320	 
Delhi	Bhatinda	9I 0621	12.4...	9:25	10:45	ATR-72	 
Delhi	Bhatinda	9I 0639	.....6.	9:25	10:45	ATR-72	 
Delhi	Bhopal	AI 0435	1234567	5:55	7:20	A-321	 
Delhi	Bhopal	AI 0437	1234567	20:00	21:20	A-320	 
Delhi	Bhubaneswar	AI 0077	1..4...	7:10	9:20	A-320	 
Delhi	Bhubaneswar	AI 0077	.23.567	7:10	9:20	A-320	 
Delhi	Bhubaneswar	AI 0075	1234567	11:05	13:10	A-320	 
Delhi	Bhubaneswar	AI 0473	1..4...	18:40	21:00	A-320	 
Delhi	Bhubaneswar	AI 0473	.23.567	19:00	21:00	A-320	 
Delhi	Bikaner	9I 0833	1234567	9:45	11:15	ATR-72	 
Delhi	Birmingham	AI 0117	.2.4.6.	11:20	17:15	B787	1
Delhi	Birmingham	AI 0113	1.3...7	13:15	17:15	B787	 
Delhi	Chandigarh	9I 0831	1234.6.	5:55	7:00	ATR-72	 
Delhi	Chandigarh	9I 0831	....5..	6:05	7:05	ATR-42	 
Delhi	Chandigarh	AI 0463	1.3..6.	11:15	12:10	A-321	 
Delhi	Chandigarh	AI 0463	.2.45..	11:15	12:10	A-319	 
Delhi	Chennai	AI 0439	1234567	6:05	8:55	A-320	 
Delhi	Chennai	AI 0429	1234567	9:45	12:40	A-321	 
Delhi	Chennai	AI 0142	1234567	12:30	15:15	A-320	 
Delhi	Chennai	AI 0042	1234567	17:20	20:00	A-320	 
Delhi	Chennai	AI 0540	1234567	20:40	23:35	A-321	 
Delhi	Chicago	AI 0127	1234567	2:00	6:30	B777-ER	 
Delhi	Coimbatore	AI 0429	1234567	9:45	14:20	A-321	1
Delhi	Coimbatore	AI 0547	1234567	21:15	0:30+1	A-320	 
Delhi	Colombo	AI 0281	12.4567	12:30	16:05	A-321	 
Delhi	Colombo	AI 0281	..3....	13:40	17:20	A-321	 
Delhi	Colombo	AI 0283	.23456.	22:25	2:00+1	A-320	 
Delhi	Copenhagen	AI 0157	.2.456.	14:00	17:50	B787	 
Delhi	Dammam	AI 0913	1234567	0:20	2:30	A-320	 
Delhi	Dehra Dun	9I 0645	1234567	6:20	7:20	ATR-72	 
Delhi	Dehra Dun	9I 0609	1234567	17:20	18:30	ATR-72	 
Delhi	Dharamshala	9I 0713	....5..	10:15	12:00	ATR-72	 
Delhi	Dharamshala	9I 0713	1234.67	10:55	12:40	ATR-72	 
Delhi	Dubai	AI 0933	1234567	5:10	12:30	B787	1
Delhi	Dubai	AI 0995	1234567	20:25	22:45	B787	 
Delhi	Durgapur	AI 0755	1..45.7	5:45	7:50	A-319	 
Delhi	Frankfurt	AI 0121	1234567	13:35	18:00	B787	 
Delhi	Gaya	AI 0235	..3....	7:10	9:00	A-320	 
Delhi	Gaya	AI 0433	1234567	12:00	13:40	A-319	 
Delhi	Goa	AI 0156	1234567	10:55	13:15	A-321	 
Delhi	Goa	AI 0883	1234567	22:00	0:35+1	A-320	 
Delhi	Gorakhpur	9I 0809	1234567	13:20	15:20	ATR-72	 
Delhi	Guwahati	AI 0889	1.3456.	9:30	12:10	A-321	 
Delhi	Guwahati	AI 0889	.2....7	9:30	14:05	A-321	1
Delhi	Guwahati	AI 0891	1234567	16:15	18:45	A-320	 
Delhi	Gwalior	9I 0628	..3.5.7	11:35	12:30	ATR-72	 
Delhi	Hong Kong	AI 0310	.2.4.67	23:15	6:30+1	B787	 
Delhi	Hong Kong	AI 0314	1.3.5..	23:15	6:30+1	B787	 
Delhi	Hyderabad	AI 0560	1234567	7:05	9:10	B787	 
Delhi	Hyderabad	AI 0542	1234567	9:45	11:55	A-321	 
Delhi	Hyderabad	AI 0544	.23.5.7	13:05	15:15	A-320	 
Delhi	Hyderabad	AI 0104	1..4.6	13:15	15:15	A-320	 
Delhi	Hyderabad	AI 0126	1234567	17:15	19:25	B777-ER	 
Delhi	Hyderabad	AI 0839	1234567	21:30	23:45	A-321	 
Delhi	Imphal	AI 0889	1.3456.	9:30	13:45	A-321	1
Delhi	Imphal	AI 0889	.2....7	9:30	12:10	A-321	 
Delhi	Indore	9I 0628	..3.5.7	11:35	14:25	ATR-72	1
Delhi	Indore	AI 0636	1234567	15:05	16:30	A-319	 
Delhi	Jabalpur	9I 0617	1234567	15:35	17:25	ATR-72	 
Delhi	Jaipur	AI 0491	1234567	12:00	12:55	A-321	 
Delhi	Jaipur	9I 0643	1234567	18:45	19:45	ATR-72	 
Delhi	Jammu	9I 0613	1234567	7:05	9:00	ATR-72	 
Delhi	Jammu	AI 0821	1234567	10:50	12:20	A-319	 
Delhi	Jeddah	AI 0991	.2.4.6.	16:20	19:45	B777-ER	 
Delhi	Jodhpur	AI 0475	1234567	12:55	14:15	A-321	 
Delhi	Kabul	AI 0243	.2.4.67	12:35	13:45	A-320	 
Delhi	Kathmandu	AI 0213	1234567	7:40	9:30	A-320	 
Delhi	Kathmandu	AI 0215	1234567	12:50	14:35	A-320	 
Delhi	Khajuraho	AI 0406	1.3..6.	10:15	14:40	A-319	2
Delhi	Kochi	AI 0933	1234567	5:10	8:00	B787	 
Delhi	Kochi	AI 0512	.2.....	14:05	17:55	A-319	 
Delhi	Kochi	AI 0512	1.34567	14:10	17:10	A-319	 
Delhi	Kochi	AI 0048	1234567	18:05	21:10	A-321	 
Delhi	Kolkata	AI 0401	1234567	6:50	9:00	B787	 
Delhi	Kolkata	AI 0020	1234567	14:00	16:25	B787	 
Delhi	Kolkata	AI 0764	1234567	16:55	19:10	A-320	 
Delhi	Kolkata	AI 0022	1234567	20:15	22:20	A-321	 
Delhi	Kullu	9I 0805	1234567	6:45	8:05	ATR-72	 
Delhi	Leh	AI 0445	1234567	6:45	8:20	A-319	 
Delhi	London	AI 0161	1234567	2:30	6:35	B787	 
Delhi	London	AI 0111	1234567	14:45	18:55	B787	 
Delhi	Lucknow	AI 0423	.2..5..	2:15	3:15	A-320	 
Delhi	Lucknow	AI 0411	1.3.5.7	7:00	8:00	A-320	 
Delhi	Lucknow	AI 0992	.2.4.6.	7:00	8:00	A-320	 
Delhi	Lucknow	AI 0413	1..4...	9:50	10:50	A-320	 
Delhi	Lucknow	AI 0431	1234567	12:20	13:25	A-320	 
Delhi	Lucknow	AI 0811	1234567	18:30	19:40	A-319	 
Delhi	Ludhiana	9I 0837	......7	7:00	8:15	ATR-72	 
Delhi	Ludhiana	9I 0827	.....6.	14:10	15:25	ATR-72	 
Delhi	Ludhiana	9I 0837	12.4...	14:10	15:25	ATR-72	 
Delhi	Madrid	AI 0135	.2.4.6.	14:00	19:10	B787	 
Delhi	Male	AI 0263	1234567	5:15	10:05	A-320	1
Delhi	Melbourne	AI 0308	..3.5.7	13:15	7:00+1	B787	 
Delhi	Milan	AI 0137	12.4.6.	14:20	18:30	B787	 
Delhi	Mumbai	AI 0349	1.3.567	4:00	6:15	B787	 
Delhi	Mumbai	AI 0887	1234567	7:00	9:05	A-320	 
Delhi	Mumbai	AI 0665	1234567	8:00	10:10	A-321	 
Delhi	Mumbai	AI 0678	.2.4.6.	8:40	10:50	A-320	 
Delhi	Mumbai	AI 0678	1.3.5.7	9:00	11:10	A-320	 
Delhi	Mumbai	AI 0865	1.3.5.7	10:00	12:15	A-320	 
Delhi	Mumbai	9I 0628	..3.5.7	11:35	16:50	ATR-72	2
Delhi	Mumbai	AI 0863	1.3.5.7	13:00	15:10	A-320	 
Delhi	Mumbai	AI 0636	1234567	15:05	18:25	A-319	1
Delhi	Mumbai	AI 0102	1234567	17:00	19:10	B777-ER	 
Delhi	Mumbai	AI 0441	1234567	17:50	21:30	A-319	1
Delhi	Mumbai	AI 0024	1234567	18:00	20:15	A-320	 
Delhi	Mumbai	AI 0624	1234567	19:00	21:15	A-320	 
Delhi	Mumbai	AI 0805	1.3.5.7	20:00	22:15	A-319	 
Delhi	Mumbai	AI 0191	1.3.5.7	21:00	23:10	B777-ER	 
Delhi	Mumbai	AI 0805	.2.4.6.	21:00	23:10	A-319	 
Delhi	Mumbai	AI 0191	.2.4.6.	21:40	23:55	B777-ER	 
Delhi	Mumbai	AI 0315	.2.4.6.	23:00	1:25+1	B787	 
Delhi	Mumbai	AI 0317	1.3.5.7	23:00	1:25+1	B787	 
Delhi	Muscat	AI 0973	1234567	19:20	21:25	A-321	 
Delhi	Nagpur	AI 0469	1..4.6.	5:15	8:10	A-320	1
Delhi	Nagpur	AI 0469	.23.5.7	5:55	7:40	A-320	 
Delhi	Nanded	AI 0455	1..4...	15:20	17:05	A-319	 
Delhi	New York	AI 0101	1234567	1:35	6:35	B777-ER	 
Delhi	Newark	AI 0191	1.3.5.7	21:00	7:15	B777-ER	1
Delhi	Newark	AI 0191	.2.4.6.	21:40	7:45	B777-ER	1
Delhi	Osaka	AI 0314	1.3.5..	23:15	12:05+1	B787	1
Delhi	Pantnagar	9I 0815	..3..67	12:10	13:10	ATR-42	 
Delhi	Pantnagar	9I 0815	....5..	12:40	13:40	ATR-42	 
Delhi	Paris	AI 0143	1234567	13:05	17:55	B787	 
Delhi	Pathankot	9I 0835	12.4...	12:10	13:40	ATR-42	 
Delhi	Patna	AI 0409	1234567	10:35	12:00	A-319	 
Delhi	Patna	AI 0407	1234567	13:45	15:20	A-319	 
Delhi	Patna	AI 0415	1234567	16:45	18:35	A-320	 
Delhi	Port Blair	AI 0485	1..4.6.	5:30	10:05	A-320	1
Delhi	Port Blair	AI 0485	.23.5.7	5:30	9:15	A-320	 
Delhi	Port Blair	AI 0487	1...5..	6:55	11:50	A-320	1
Delhi	Pune	AI 0851	1234567	4:55	7:05	A-320	 
Delhi	Pune	AI 0849	1234567	16:10	18:10	A-320	 
Delhi	Pune	AI 0853	1..4...	19:00	21:10	A-321	 
Delhi	Pune	AI 0853	.23.567	19:05	21:10	A-321	 
Delhi	Raipur	AI 0469	1..4.6.	5:15	7:05	A-320	 
Delhi	Raipur	AI 0477	.23.5.7	5:25	7:00	A-319	 
Delhi	Rajkot	AI 0497	1..4.6.	5:15	7:00	A-319	 
Delhi	Rajkot	AI 0495	.2.....	16:55	18:40	A-319	 
Delhi	Rajkot	AI 0495	..3.5.7	17:15	19:00	A-319	 
Delhi	Ranchi	AI 0417	1234567	11:10	12:50	A-320	 
Delhi	Riyadh	AI 0925	.2..5.7	3:00	5:30	A-320	 
Delhi	Rome	AI 0123	..3.5.7	14:20	18:05	B787	 
Delhi	San Francisco	AI 0173	1.34567	4:00	6:00	B777-LR	 
Delhi	San Francisco	AI 0183	.2..5.7	18:10	20:30	B777-LR	 
Delhi	Seoul	AI 0310	.2.4.67	23:15	12:05+1	B787	1
Delhi	Shanghai	AI 0348	.2.4567	11:55	20:20	B787	 
Delhi	Shimla	9I 0803	1234.67	7:35	9:00	ATR-42	 
Delhi	Shimla	9I 0803	....5..	9:15	10:25	ATR-42	 
